Location,Lat,Lng,Elevation
Sydney,-33.8688197,151.2092955,24.5399284362793
London,51.5073509,-0.1277583,7.965522289276123
Moscow,55.755826,37.6172999,151.7860565185547
Stockholm,59.32932349999999,18.0685808,19.24552345275879
Melbourne,-37.8136276,144.9630576,10.06689834594727
Anchorage,61.2180556,-149.9002778,33.1964111328125
Shanghai,31.2303904,121.4737021,15.85985374450684
Montreal,45.5016889,-73.567256,35.90165328979492
Paris,48.856614,2.3522219,32.52695846557617
Munich,48.1351253,11.5819805,514.8724365234375
Rome,41.9027835,12.4963655,52.71562576293945
Miami,25.7616798,-80.1917902,0.5368872284889221
